Vendor Number,Category Name,Date,Sale (Dollars)
100,TEMPORARY & SPECIALTY PACKAGES,10/16/2023,519.00
797,100% AGAVE TEQUILA,09/20/2023,64.14
035,100% AGAVE TEQUILA,05/26/2023,31493.55
420,SINGLE MALT SCOTCH,06/08/2023,1727.65
537,IMPORTED VODKAS,08/08/2023,22.68
065,IMPORTED BRANDIES,06/07/2023,1276.50
287,STRAIGHT RYE WHISKIES,06/06/2023,36.75
118,AMERICAN FLAVORED VODKA,02/22/2023,994.50
421,BLENDED WHISKIES,07/03/2023,853.65
619,GOLD RUM,06/02/2023,86.25
370,FLAVORED RUM,09/11/2023,11129.79
620,WHISKEY LIQUEUR,09/13/2023,552.51
654,FLAVORED GIN,09/06/2023,1102.50
305,IMPORTED VODKAS,10/24/2023,37.50
300,CREAM LIQUEURS,09/12/2023,1530.73
772,AMERICAN FLAVORED VODKA,09/22/2023,1425.00
259,100% AGAVE TEQUILA,06/27/2023,627.75
338,IMPORTED DRY GINS,03/02/2023,150.06
395,BLENDED WHISKIES,08/11/2023,630.75
305,IMPORTED DRY GINS,10/30/2023,202.50
434,TRIPLE SEC,08/15/2023,730.22
205,WHITE RUM,06/21/2023,459.00
434,CANADIAN WHISKIES,10/05/2023,498.94
380,CANADIAN WHISKIES,09/21/2023,826.50
370,IMPORTED DRY GINS,05/10/2023,1637.80
260,AMERICAN VODKAS,07/26/2023,32599.33
125,AMERICAN BRANDIES,03/01/2023,60.00
421,SINGLE MALT SCOTCH,10/02/2023,166.50
434,AMERICAN SCHNAPPS,03/31/2023,3368.09
259,AMERICAN FLAVORED VODKA,09/20/2023,6851.25
115,BLENDED WHISKIES,04/24/2023,105.00
035,IRISH WHISKIES,03/30/2023,503.82
777,STRAIGHT BOURBON WHISKIES,06/29/2023,315.00
421,IMPORTED DISTILLED SPIRITS SPECIALTY,08/25/2023,251.64
772,FLAVORED GIN,04/03/2023,22.50
420,IMPORTED BRANDIES,04/11/2023,35783.40
421,CREAM LIQUEURS,09/09/2023,4370.82
421,IMPORTED DISTILLED SPIRITS SPECIALTY,08/08/2023,68.64
395,IMPORTED FLAVORED VODKA,05/05/2023,149.40
736,100% AGAVE TEQUILA,03/03/2023,179.80
065,TRIPLE SEC,09/28/2023,630.00
420,TEMPORARY & SPECIALTY PACKAGES,06/16/2023,296.97
305,CORN WHISKIES,06/08/2023,37.50
065,AMERICAN CORDIALS & LIQUEURS,05/22/2023,1321.53
370,TEMPORARY & SPECIALTY PACKAGES,10/16/2023,2276.85
260,AMERICAN VODKAS,10/06/2023,21125.45
085,AGED DARK RUM,03/02/2023,195.75
100,IMPORTED DISTILLED SPIRITS SPECIALTY,07/08/2023,412.20
065,TEMPORARY & SPECIALTY PACKAGES,09/26/2023,3110.25
460,AGED DARK RUM,04/25/2023,120.06
259,AMERICAN BRANDIES,06/21/2023,2528.97
434,IMPORTED VODKAS,02/23/2023,94.50
391,BLENDED WHISKIES,02/16/2023,432.00
421,AMERICAN DRY GINS,04/26/2023,5318.70
260,COCKTAILS/RTD,06/12/2023,230.88
035,GOLD RUM,08/01/2023,1741.71
300,BLENDED WHISKIES,09/18/2023,152.88
395,BLENDED WHISKIES,01/13/2023,652.50
260,FLAVORED RUM,04/20/2023,2655.15
772,COCKTAILS/RTD,07/06/2023,243.00
065,TEMPORARY & SPECIALTY PACKAGES,10/12/2023,13813.50
797,100% AGAVE TEQUILA,05/31/2023,633.54
451,WHITE RUM,09/21/2023,196.16
472,100% AGAVE TEQUILA,03/17/2023,875.07
370,FLAVORED RUM,03/06/2023,17086.68
654,AMERICAN DRY GINS,01/08/2023,67.50
035,GOLD RUM,04/25/2023,1209.96
395,SPICED RUM,03/30/2023,363.00
306,BLENDED WHISKIES,10/09/2023,1122.00
421,AMERICAN VODKAS,01/24/2023,12875.14
091,FLAVORED RUM,09/28/2023,78.75
978,AMERICAN DRY GINS,07/19/2023,535.68
325,AMERICAN VODKAS,10/06/2023,18.75
363,IMPORTED CORDIALS & LIQUEURS,05/10/2023,328.79
305,IMPORTED CORDIALS & LIQUEURS,08/22/2023,1399.39
460,IMPORTED BRANDIES,07/08/2023,45.02
617,AMERICAN VODKAS,04/17/2023,148.68
978,STRAIGHT BOURBON WHISKIES,10/13/2023,340.08
260,WHITE RUM,02/13/2023,271.29
115,AMERICAN FLAVORED VODKA,04/25/2023,204.00
306,AMERICAN VODKAS,10/25/2023,891.36
260,BLENDED WHISKIES,08/23/2023,11848.74
525,BLENDED WHISKIES,06/07/2023,198.00
205,AMERICAN VODKAS,05/25/2023,7777.00
434,NEUTRAL GRAIN SPIRITS,08/22/2023,1224.00
115,AMERICAN VODKAS,10/25/2023,4161.60
259,STRAIGHT BOURBON WHISKIES,07/08/2023,6710.88
434,SPICED RUM,05/19/2023,470.26
578,AMERICAN DISTILLED SPIRITS SPECIALTY,08/02/2023,3742.64
065,BOTTLED IN BOND BOURBON,09/01/2023,425.25
306,STRAIGHT RYE WHISKIES,01/08/2023,86.28
421,SPICED RUM,01/09/2023,268.68
259,STRAIGHT RYE WHISKIES,08/14/2023,906.75
521,AMERICAN FLAVORED VODKA,05/11/2023,2744.56
370,STRAIGHT BOURBON WHISKIES,01/09/2023,6155.37
205,SINGLE MALT SCOTCH,05/16/2023,269.50
421,IRISH WHISKIES,02/24/2023,189.00
035,IMPORTED DRY GINS,04/28/2023,3564.04
266,SINGLE MALT SCOTCH,07/14/2023,191.34
205,AMERICAN FLAVORED VODKA,06/28/2023,10407.08
421,IRISH WHISKIES,08/09/2023,378.00
434,AMERICAN DRY GINS,01/03/2023,1283.05
035,COCKTAILS/RTD,04/25/2023,533.24
772,IRISH WHISKIES,04/18/2023,472.50
035,IRISH WHISKIES,08/18/2023,83.97
065,MIXTO TEQUILA,07/17/2023,1978.50
521,AMERICAN FLAVORED VODKA,09/12/2023,689.52
421,MEZCAL,05/08/2023,139.23
297,AMERICAN VODKAS,05/05/2023,10296.45
617,AMERICAN VODKAS,07/06/2023,525.48
259,CREAM LIQUEURS,02/28/2023,299.25
035,FLAVORED RUM,07/11/2023,3382.29
305,WHITE RUM,03/21/2023,249.08
255,TEMPORARY & SPECIALTY PACKAGES,08/21/2023,559.46
368,TENNESSEE WHISKIES,09/13/2023,360.00
395,MIXTO TEQUILA,03/09/2023,19500.50
448,AMERICAN DRY GINS,10/12/2023,315.00
654,BLENDED WHISKIES,04/28/2023,1128.75
