Vendor Number,Category Name,Date,Sale (Dollars)
772,IMPORTED CORDIALS & LIQUEURS,06/02/2023,198.00
619,STRAIGHT BOURBON WHISKIES,09/21/2023,3862.74
306,STRAIGHT BOURBON WHISKIES,06/19/2023,402.64
391,IRISH WHISKIES,09/22/2023,180.36
065,IMPORTED CORDIALS & LIQUEURS,01/24/2023,34.48
065,IMPORTED CORDIALS & LIQUEURS,02/14/2023,172.40
803,AMERICAN VODKAS,10/10/2023,42282.00
777,TEMPORARY & SPECIALTY PACKAGES,06/09/2023,690.72
434,STRAIGHT BOURBON WHISKIES,05/25/2023,4086.00
421,IMPORTED CORDIALS & LIQUEURS,07/11/2023,2058.99
434,IMPORTED VODKAS,03/03/2023,94.50
325,SINGLE BARREL BOURBON WHISKIES,04/17/2023,90.00
305,100% AGAVE TEQUILA,05/08/2023,237.11
338,BLENDED WHISKIES,09/29/2023,454.86
370,MIXTO TEQUILA,04/19/2023,35.97
755,TEMPORARY & SPECIALTY PACKAGES,10/17/2023,263.10
619,SINGLE BARREL BOURBON WHISKIES,07/26/2023,97.50
266,WHITE RUM,07/27/2023,180.36
363,IMPORTED CORDIALS & LIQUEURS,06/28/2023,328.79
130,IMPORTED CORDIALS & LIQUEURS,05/05/2023,1471.26
395,SPICED RUM,09/08/2023,3046.50
240,SCOTCH WHISKIES,10/13/2023,719.65
035,SINGLE MALT SCOTCH,04/04/2023,216.00
421,TRIPLE SEC,08/10/2023,176.20
566,AMERICAN VODKAS,01/03/2023,3231.65
434,STRAIGHT BOURBON WHISKIES,09/07/2023,19190.25
391,BLENDED WHISKIES,06/09/2023,63.56
434,SPICED RUM,01/06/2023,380.26
035,SPICED RUM,05/25/2023,24.00
338,COFFEE LIQUEURS,06/12/2023,270.00
125,AGED DARK RUM,10/24/2023,315.00
260,IMPORTED FLAVORED VODKA,06/09/2023,5984.44
259,CANADIAN WHISKIES,01/16/2023,42099.97
370,IMPORTED DRY GINS,05/16/2023,1510.49
305,GOLD RUM,04/24/2023,1102.50
260,IMPORTED BRANDIES,08/10/2023,629.28
384,NEUTRAL GRAIN SPIRITS FLAVORED,01/20/2023,783.93
755,IMPORTED DRY GINS,08/08/2023,252.00
205,TEMPORARY & SPECIALTY PACKAGES,09/22/2023,798.00
154,STRAIGHT BOURBON WHISKIES,09/25/2023,2693.70
035,IMPORTED DRY GINS,03/14/2023,1015.71
772,FLAVORED GIN,03/29/2023,90.00
421,CORN WHISKIES,01/24/2023,27.00
085,AGED DARK RUM,09/14/2023,236.25
300,CREAM LIQUEURS,05/01/2023,1384.13
342,FLAVORED GIN,02/09/2023,30.00
389,SCOTCH WHISKIES,06/15/2023,283.32
712,CORN WHISKIES,06/13/2023,49.48
125,BOTTLED IN BOND BOURBON,08/25/2023,150.00
619,STRAIGHT BOURBON WHISKIES,03/03/2023,3895.16
154,STRAIGHT BOURBON WHISKIES,06/28/2023,1616.22
259,STRAIGHT BOURBON WHISKIES,10/02/2023,10792.89
325,AMERICAN FLAVORED VODKA,09/13/2023,37.50
266,SINGLE MALT SCOTCH,08/31/2023,236.42
434,100% AGAVE TEQUILA,06/15/2023,7374.00
755,IMPORTED DISTILLED SPIRITS SPECIALTY,04/06/2023,54.00
306,STRAIGHT BOURBON WHISKIES,05/18/2023,342.00
536,BLENDED WHISKIES,07/11/2023,487.50
266,SCOTCH WHISKIES,10/22/2023,358.40
755,TEMPORARY & SPECIALTY PACKAGES,07/12/2023,789.30
666,AMERICAN DRY GINS,05/03/2023,414.54
421,IMPORTED VODKAS,07/03/2023,16060.95
065,STRAIGHT BOURBON WHISKIES,07/19/2023,62123.39
035,SINGLE MALT SCOTCH,09/14/2023,72.00
255,100% AGAVE TEQUILA,02/23/2023,1599.99
091,FLAVORED RUM,02/13/2023,378.00
434,AMERICAN VODKAS,07/20/2023,13585.00
370,100% AGAVE TEQUILA,07/27/2023,7214.74
065,SINGLE MALT SCOTCH,09/01/2023,781.50
772,IMPORTED CORDIALS & LIQUEURS,10/18/2023,198.00
978,BLENDED WHISKIES,04/14/2023,44.76
395,COCKTAILS/RTD,05/12/2023,24516.09
384,TEMPORARY & SPECIALTY PACKAGES,10/22/2023,421.68
297,IMPORTED CORDIALS & LIQUEURS,07/26/2023,130.44
611,100% AGAVE TEQUILA,04/10/2023,462.00
240,IRISH WHISKIES,02/07/2023,790.50
368,IMPORTED DRY GINS,02/13/2023,26.24
434,AMERICAN SCHNAPPS,10/11/2023,3118.62
421,STRAIGHT RYE WHISKIES,10/10/2023,228.69
578,AMERICAN DISTILLED SPIRITS SPECIALTY,03/27/2023,663.52
756,STRAIGHT RYE WHISKIES,06/07/2023,322.65
421,CANADIAN WHISKIES,01/06/2023,23842.70
755,STRAIGHT BOURBON WHISKIES,01/05/2023,57.78
368,IMPORTED CORDIALS & LIQUEURS,01/26/2023,6387.09
421,BLENDED WHISKIES,08/04/2023,541.80
619,AMERICAN CORDIALS & LIQUEURS,03/14/2023,1425.75
654,CREAM LIQUEURS,01/11/2023,1326.75
306,AMERICAN VODKAS,07/17/2023,594.24
260,WHITE RUM,04/11/2023,506.70
478,100% AGAVE TEQUILA,05/02/2023,26.25
325,STRAIGHT BOURBON WHISKIES,05/15/2023,60.00
830,SINGLE BARREL BOURBON WHISKIES,04/03/2023,712.50
434,AMERICAN CORDIALS & LIQUEURS,08/08/2023,1625.79
594,AMERICAN VODKAS,07/08/2023,92.28
482,CREAM LIQUEURS,05/16/2023,166.50
266,SINGLE MALT SCOTCH,03/01/2023,180.06
260,CANADIAN WHISKIES,02/15/2023,105293.43
305,IMPORTED VODKAS,02/20/2023,332.79
380,SINGLE MALT SCOTCH,08/23/2023,168.75
460,SCOTCH WHISKIES,09/07/2023,429.00
368,IMPORTED CORDIALS & LIQUEURS,05/04/2023,11535.84
380,AGED DARK RUM,10/05/2023,241.76
521,AMERICAN VODKAS,05/15/2023,162.24
777,AMERICAN VODKAS,02/06/2023,6968.41
118,WHITE RUM,03/03/2023,23.19
305,AMERICAN FLAVORED VODKA,08/28/2023,210.68
260,MIXTO TEQUILA,04/06/2023,236.25
391,IMPORTED CORDIALS & LIQUEURS,09/01/2023,57.00
578,AMERICAN DISTILLED SPIRITS SPECIALTY,03/14/2023,1081.60
448,AMERICAN DRY GINS,10/19/2023,26.25
786,TEMPORARY & SPECIALTY PACKAGES,10/05/2023,104.94
421,SINGLE BARREL BOURBON WHISKIES,07/19/2023,348.75
421,CREAM LIQUEURS,02/23/2023,2460.60
259,CORN WHISKIES,08/29/2023,40.50
346,NEUTRAL GRAIN SPIRITS FLAVORED,01/30/2023,14345.38
420,IMPORTED BRANDIES,02/17/2023,36352.99
240,IMPORTED CORDIALS & LIQUEURS,07/11/2023,180.00
617,AMERICAN VODKAS,06/21/2023,351.96
521,AMERICAN FLAVORED VODKA,03/24/2023,344.79
297,BLENDED WHISKIES,02/17/2023,6794.13
421,COCKTAILS/RTD,02/17/2023,4523.28
370,IMPORTED DISTILLED SPIRITS SPECIALTY,01/11/2023,371.16
395,MEZCAL,09/12/2023,129.00
085,TEMPORARY & SPECIALTY PACKAGES,08/08/2023,9612.72
085,100% AGAVE TEQUILA,02/10/2023,2064.90
287,STRAIGHT BOURBON WHISKIES,06/19/2023,73.50
305,CANADIAN WHISKIES,10/31/2023,135.00
619,IMPORTED CORDIALS & LIQUEURS,10/31/2023,4950.75
240,SINGLE MALT SCOTCH,10/12/2023,2302.50
420,IMPORTED BRANDIES,08/21/2023,32190.98
085,TENNESSEE WHISKIES,08/08/2023,49540.48
434,AMERICAN DRY GINS,10/26/2023,1044.82
336,AMERICAN CORDIALS & LIQUEURS,07/26/2023,59.94
434,COFFEE LIQUEURS,09/08/2023,120.00
434,COFFEE LIQUEURS,03/15/2023,15.00
370,COFFEE LIQUEURS,03/20/2023,5916.97
421,IMPORTED DISTILLED SPIRITS SPECIALTY,10/09/2023,992.00
154,STRAIGHT BOURBON WHISKIES,07/06/2023,179.58
777,TEMPORARY & SPECIALTY PACKAGES,01/24/2023,172.68
370,IMPORTED VODKAS,09/09/2023,13199.35
085,STRAIGHT BOURBON WHISKIES,07/14/2023,4974.00
434,TRIPLE SEC,03/01/2023,2105.50
654,BLENDED WHISKIES,03/07/2023,1391.25
434,AMERICAN SCHNAPPS,01/11/2023,3730.91
363,CREAM LIQUEURS,06/01/2023,135.00
255,100% AGAVE TEQUILA,06/14/2023,958.14
035,COCKTAILS/RTD,06/29/2023,539.98
421,IMPORTED SCHNAPPS,03/02/2023,18174.39
421,100% AGAVE TEQUILA,04/03/2023,9253.98
421,MEZCAL,03/31/2023,278.46
434,100% AGAVE TEQUILA,07/19/2023,4569.75
421,SPICED RUM,05/26/2023,616.26
380,IRISH WHISKIES,09/14/2023,196.43
421,SCOTCH WHISKIES,04/13/2023,2115.25
448,AMERICAN FLAVORED VODKA,04/14/2023,42.00
305,STRAIGHT RYE WHISKIES,02/28/2023,360.00
305,SCOTCH WHISKIES,09/12/2023,904.08
306,BLENDED WHISKIES,09/05/2023,867.00
370,BLENDED WHISKIES,09/28/2023,1056.00
826,AMERICAN VODKAS,03/03/2023,225.00
259,AMERICAN CORDIALS & LIQUEURS,10/12/2023,814.50
259,CANADIAN WHISKIES,07/08/2023,55992.80
260,TEMPORARY & SPECIALTY PACKAGES,03/14/2023,3247.90
079,BLENDED WHISKIES,10/16/2023,-36.74
195,AMERICAN VODKAS,09/11/2023,3012.66
305,IMPORTED DRY GINS,06/16/2023,270.00
300,TEMPORARY & SPECIALTY PACKAGES,01/25/2023,450.00
205,SINGLE BARREL BOURBON WHISKIES,08/30/2023,202.50
978,AMERICAN DRY GINS,06/05/2023,267.84
421,AMERICAN FLAVORED VODKA,09/14/2023,404.35
395,IMPORTED FLAVORED VODKA,09/01/2023,463.14
492,STRAIGHT BOURBON WHISKIES,06/15/2023,360.96
260,100% AGAVE TEQUILA,01/27/2023,19142.65
259,FLAVORED RUM,09/06/2023,849.00
240,IRISH WHISKIES,09/29/2023,498.75
421,SCOTCH WHISKIES,10/05/2023,3090.00
395,IRISH WHISKIES,09/07/2023,3811.50
421,CORN WHISKIES,08/10/2023,27.00
065,AMERICAN DRY GINS,08/23/2023,586.92
395,IRISH WHISKIES,08/16/2023,975.75
065,AMERICAN VODKAS,01/16/2023,2367.00
065,COCKTAILS/RTD,03/01/2023,2814.15
634,STRAIGHT RYE WHISKIES,05/03/2023,109.43
255,AMERICAN DISTILLED SPIRITS SPECIALTY,02/23/2023,9102.00
620,WHISKEY LIQUEUR,09/18/2023,833.94
115,BLENDED WHISKIES,02/10/2023,157.50
421,STRAIGHT RYE WHISKIES,06/28/2023,1473.78
090,IMPORTED FLAVORED VODKA,03/17/2023,202.50
325,AMERICAN FLAVORED VODKA,03/21/2023,228.74
035,IMPORTED VODKAS,03/21/2023,8210.25
338,BLENDED WHISKIES,09/12/2023,49.98
260,MEZCAL,07/28/2023,52.49
085,TENNESSEE WHISKIES,04/17/2023,57249.99
259,TEMPORARY & SPECIALTY PACKAGES,01/12/2023,294.75
633,TENNESSEE WHISKIES,09/21/2023,211.08
214,STRAIGHT BOURBON WHISKIES,04/03/2023,300.00
065,IMPORTED VODKAS,05/31/2023,375.00
434,AMERICAN CORDIALS & LIQUEURS,01/17/2023,1941.31
421,MIXTO TEQUILA,07/19/2023,6578.94
558,AGED DARK RUM,04/05/2023,84.00
065,AMERICAN SCHNAPPS,05/01/2023,8366.98
789,AMERICAN VODKAS,01/27/2023,1512.00
370,IMPORTED VODKAS,07/17/2023,10434.83
900,WHISKEY LIQUEUR,06/13/2023,229.35
065,AMERICAN CORDIALS & LIQUEURS,07/20/2023,3016.76
305,SPECIAL ORDER ITEMS,05/02/2023,626.88
229,WHISKEY LIQUEUR,09/19/2023,78.00
619,AMERICAN VODKAS,10/24/2023,562.50
259,IMPORTED CORDIALS & LIQUEURS,05/22/2023,765.48
346,TEMPORARY & SPECIALTY PACKAGES,02/22/2023,136.50
902,COCKTAILS/RTD,09/14/2023,149.64
209,AMERICAN VODKAS,06/14/2023,358.05
380,AMERICAN DRY GINS,07/17/2023,24.00
460,AGED DARK RUM,09/18/2023,100.05
370,IRISH WHISKIES,03/20/2023,21778.56
085,SINGLE BARREL BOURBON WHISKIES,03/08/2023,276.00
325,STRAIGHT BOURBON WHISKIES,08/15/2023,360.00
619,100% AGAVE TEQUILA,09/06/2023,3186.75
100,TEMPORARY & SPECIALTY PACKAGES,01/09/2023,322.50
035,IMPORTED FLAVORED VODKA,08/22/2023,45.00
305,IMPORTED CORDIALS & LIQUEURS,03/16/2023,262.77
421,MIXTO TEQUILA,07/26/2023,9422.52
421,CANADIAN WHISKIES,10/11/2023,7939.15
229,AMERICAN VODKAS,07/27/2023,3454.20
239,IMPORTED FLAVORED VODKA,08/09/2023,56.25
065,FLAVORED RUM,03/16/2023,346.50
300,CREAM LIQUEURS,09/18/2023,1417.23
240,SINGLE MALT SCOTCH,08/03/2023,2880.00
803,COCKTAILS/RTD,03/06/2023,4860.00
259,AMERICAN CORDIALS & LIQUEURS,01/04/2023,1621.50
536,STRAIGHT BOURBON WHISKIES,05/09/2023,56.25
370,FLAVORED GIN,10/25/2023,449.73
035,STRAIGHT BOURBON WHISKIES,03/27/2023,3491.25
293,IMPORTED DISTILLED SPIRITS SPECIALTY,08/01/2023,588.88
391,IMPORTED CORDIALS & LIQUEURS,04/26/2023,199.50
380,SPECIAL ORDER ITEMS,07/05/2023,84.00
434,100% AGAVE TEQUILA,05/01/2023,4933.50
300,BOTTLED IN BOND BOURBON,04/25/2023,1755.00
260,AMERICAN FLAVORED VODKA,08/14/2023,12449.89
260,TENNESSEE WHISKIES,09/15/2023,1409.40
154,BLENDED WHISKIES,05/05/2023,1397.85
306,COCKTAILS/RTD,01/10/2023,204.00
566,AMERICAN VODKAS,05/26/2023,1062.60
255,TEMPORARY & SPECIALTY PACKAGES,01/18/2023,702.72
370,SINGLE MALT SCOTCH,01/20/2023,808.02
205,CREAM LIQUEURS,02/08/2023,6620.79
380,SINGLE MALT SCOTCH,08/29/2023,303.75
342,FLAVORED GIN,07/31/2023,180.00
085,SINGLE MALT SCOTCH,06/14/2023,427.50
421,SCOTCH WHISKIES,03/20/2023,2254.76
892,FLAVORED RUM,08/29/2023,40.50
434,NEUTRAL GRAIN SPIRITS,05/08/2023,768.75
755,TEMPORARY & SPECIALTY PACKAGES,10/30/2023,5277.42
370,BLENDED WHISKIES,10/15/2023,477.00
380,COCKTAILS/RTD,04/28/2023,57.75
305,IMPORTED VODKAS,10/04/2023,3215.88
300,AMERICAN VODKAS,07/10/2023,18683.48
654,BLENDED WHISKIES,01/05/2023,157.50
368,TENNESSEE WHISKIES,07/03/2023,1411.79
421,CORN WHISKIES,03/01/2023,54.00
755,SPECIAL ORDER ITEMS,09/26/2023,310.50
065,AMERICAN FLAVORED VODKA,09/28/2023,594.15
421,SPECIAL ORDER ITEMS,10/18/2023,89.94
260,TEMPORARY & SPECIALTY PACKAGES,06/16/2023,1964.48
772,IRISH WHISKIES,08/23/2023,157.50
125,TEMPORARY & SPECIALTY PACKAGES,08/01/2023,-241.56
370,BLENDED WHISKIES,03/29/2023,566.79
420,SINGLE MALT SCOTCH,07/03/2023,1174.98
255,BLENDED WHISKIES,03/09/2023,1434.72
065,BOTTLED IN BOND BOURBON,06/03/2023,364.50
421,COFFEE LIQUEURS,10/12/2023,130.56
434,AMERICAN SLOE GINS,10/26/2023,213.50
260,CANADIAN WHISKIES,04/13/2023,76973.86
255,100% AGAVE TEQUILA,06/20/2023,1495.03
260,CANADIAN WHISKIES,08/15/2023,80838.20
481,AMERICAN DISTILLED SPIRITS SPECIALTY,05/31/2023,537.60
421,AMERICAN SCHNAPPS,08/15/2023,13119.42
305,STRAIGHT BOURBON WHISKIES,09/26/2023,630.00
035,IMPORTED VODKAS,02/20/2023,11716.50
395,100% AGAVE TEQUILA,07/27/2023,6489.06
434,AMERICAN SLOE GINS,04/11/2023,8.54
255,BLENDED WHISKIES,04/03/2023,1659.84
389,SINGLE MALT SCOTCH,07/12/2023,52.49
384,AMERICAN DISTILLED SPIRITS SPECIALTY,05/03/2023,25.74
090,IMPORTED FLAVORED VODKA,03/21/2023,33.75
421,CORN WHISKIES,01/09/2023,13.50
130,IRISH WHISKIES,07/18/2023,58.50
370,AMERICAN DRY GINS,08/31/2023,3355.12
338,IMPORTED DRY GINS,06/27/2023,200.08
300,100% AGAVE TEQUILA,10/02/2023,730.50
454,WHISKEY LIQUEUR,05/17/2023,322.65
035,IRISH WHISKIES,05/10/2023,503.82
368,FLAVORED RUM,02/10/2023,198.00
259,FLAVORED RUM,05/16/2023,1422.75
566,CORN WHISKIES,05/15/2023,360.00
260,AMERICAN DRY GINS,10/12/2023,1031.70
370,SCOTCH WHISKIES,01/27/2023,565.92
740,100% AGAVE TEQUILA,06/13/2023,39.38
305,100% AGAVE TEQUILA,10/31/2023,730.61
434,AMERICAN CORDIALS & LIQUEURS,10/09/2023,918.48
125,STRAIGHT BOURBON WHISKIES,10/24/2023,5355.03
260,STRAIGHT BOURBON WHISKIES,03/28/2023,18850.61
611,MEZCAL,05/30/2023,641.25
421,AMERICAN DRY GINS,03/24/2023,1456.04
154,AMERICAN VODKAS,04/28/2023,169.92
370,100% AGAVE TEQUILA,05/23/2023,1512.26
260,TENNESSEE WHISKIES,02/21/2023,391.32
260,100% AGAVE TEQUILA,07/08/2023,23967.08
260,MIXTO TEQUILA,06/01/2023,3727.50
619,AGED DARK RUM,10/11/2023,1233.00
370,MEZCAL,02/15/2023,451.08
306,BLENDED WHISKIES,06/19/2023,51.00
619,AMERICAN FLAVORED VODKA,03/28/2023,33.75
260,IMPORTED VODKAS,06/21/2023,5372.28
240,100% AGAVE TEQUILA,06/02/2023,1235.25
154,NEUTRAL GRAIN SPIRITS,04/07/2023,149.70
421,IRISH WHISKIES,07/17/2023,850.50
434,AMERICAN FLAVORED VODKA,05/10/2023,1064.73
619,AMERICAN CORDIALS & LIQUEURS,03/29/2023,1543.50
421,AMERICAN DRY GINS,04/17/2023,4771.88
260,WHITE RUM,06/30/2023,581.04
370,BLENDED WHISKIES,03/01/2023,80.97
305,IRISH WHISKIES,08/10/2023,375.00
065,AGED DARK RUM,04/20/2023,147.00
448,SINGLE MALT SCOTCH,07/17/2023,487.50
259,CANADIAN WHISKIES,03/16/2023,34331.46
619,100% AGAVE TEQUILA,07/31/2023,1985.25
163,100% AGAVE TEQUILA,08/25/2023,520.50
662,AMERICAN CORDIALS & LIQUEURS,07/20/2023,263.12
785,AGED DARK RUM,04/17/2023,66.15
239,IMPORTED FLAVORED VODKA,01/11/2023,37.50
568,AMERICAN FLAVORED VODKA,05/09/2023,179.88
370,MIXTO TEQUILA,08/17/2023,35.97
065,IMPORTED VODKAS,04/04/2023,112.50
125,TEMPORARY & SPECIALTY PACKAGES,04/11/2023,568.56
434,IRISH WHISKIES,04/24/2023,729.00
764,AMERICAN FLAVORED VODKA,07/07/2023,288.00
240,IMPORTED VODKAS,09/19/2023,2233.26
775,STRAIGHT RYE WHISKIES,05/31/2023,162.00
755,WHISKEY LIQUEUR,05/25/2023,202.56
578,AMERICAN DISTILLED SPIRITS SPECIALTY,01/03/2023,730.96
370,SCOTCH WHISKIES,01/13/2023,550.74
205,AMERICAN CORDIALS & LIQUEURS,02/07/2023,1134.00
368,IMPORTED CORDIALS & LIQUEURS,09/13/2023,6233.01
065,CANADIAN WHISKIES,09/21/2023,3434.92
626,COCKTAILS/RTD,05/24/2023,48.00
301,AMERICAN VODKAS,02/28/2023,102393.73
434,TRIPLE SEC,04/04/2023,1212.90
421,MIXTO TEQUILA,02/01/2023,6160.02
421,AMERICAN DRY GINS,07/26/2023,1359.45
370,IMPORTED FLAVORED VODKA,04/12/2023,9063.03
421,IMPORTED FLAVORED VODKA,05/08/2023,252.00
482,TEMPORARY & SPECIALTY PACKAGES,09/08/2023,42.00
035,SCOTCH WHISKIES,10/30/2023,1604.25
421,100% AGAVE TEQUILA,03/15/2023,6174.63
772,FLAVORED GIN,08/25/2023,90.00
666,AMERICAN FLAVORED VODKA,04/24/2023,355.32
240,COCKTAILS/RTD,03/21/2023,81.00
521,AMERICAN FLAVORED VODKA,07/20/2023,1027.52
568,AMERICAN VODKAS,03/01/2023,179.88
370,TEMPORARY & SPECIALTY PACKAGES,06/09/2023,29.40
240,100% AGAVE TEQUILA,01/08/2023,148.50
065,COCKTAILS/RTD,05/04/2023,1850.40
035,AGED DARK RUM,02/24/2023,178.92
389,SINGLE MALT SCOTCH,01/11/2023,314.94
035,IRISH WHISKIES,08/21/2023,223.92
370,IRISH WHISKIES,05/30/2023,35702.46
421,TEMPORARY & SPECIALTY PACKAGES,03/02/2023,985.50
205,AGED DARK RUM,01/30/2023,121.50
260,IMPORTED FLAVORED VODKA,05/03/2023,7479.39
978,COFFEE LIQUEURS,08/10/2023,133.56
477,IMPORTED CORDIALS & LIQUEURS,04/24/2023,116.34
830,STRAIGHT BOURBON WHISKIES,02/07/2023,8632.50
368,IMPORTED CORDIALS & LIQUEURS,04/26/2023,4229.40
035,IMPORTED DRY GINS,09/29/2023,2438.62
305,SPECIAL ORDER ITEMS,02/28/2023,74.97
421,COCKTAILS/RTD,01/13/2023,4947.09
214,TEMPORARY & SPECIALTY PACKAGES,10/16/2023,2231.25
346,NEUTRAL GRAIN SPIRITS FLAVORED,06/22/2023,8495.55
260,IMPORTED VODKAS,10/17/2023,4032.44
260,IMPORTED CORDIALS & LIQUEURS,09/11/2023,6786.66
421,IMPORTED CORDIALS & LIQUEURS,06/22/2023,5310.05
085,AGED DARK RUM,03/24/2023,222.75
384,AMERICAN DISTILLED SPIRITS SPECIALTY,07/17/2023,25.74
391,IMPORTED CORDIALS & LIQUEURS,07/24/2023,57.00
305,WHITE RUM,03/22/2023,251.84
370,BLENDED WHISKIES,01/12/2023,161.94
420,IMPORTED BRANDIES,05/25/2023,32286.44
121,WHISKEY LIQUEUR,03/27/2023,195.36
255,IMPORTED BRANDIES,10/17/2023,148.41
154,AMERICAN DISTILLED SPIRITS SPECIALTY,09/01/2023,1153.71
370,AMERICAN DRY GINS,05/15/2023,2587.08
065,AGED DARK RUM,08/04/2023,110.40
306,STRAIGHT BOURBON WHISKIES,09/19/2023,690.24
125,AMERICAN DRY GINS,05/05/2023,92.25
380,IRISH WHISKIES,02/21/2023,1329.68
065,SINGLE MALT SCOTCH,04/10/2023,1102.50
380,COFFEE LIQUEURS,03/21/2023,217.98
240,SINGLE MALT SCOTCH,05/22/2023,3240.00
492,BLENDED WHISKIES,05/01/2023,2449.50
380,CANADIAN WHISKIES,09/07/2023,427.50
395,GOLD RUM,08/21/2023,33.00
451,WHITE RUM,08/14/2023,294.24
353,IMPORTED DISTILLED SPIRITS SPECIALTY,05/02/2023,-87.04
434,AMERICAN CORDIALS & LIQUEURS,04/07/2023,1878.79
978,STRAIGHT BOURBON WHISKIES,08/18/2023,170.04
277,IMPORTED FLAVORED VODKA,03/08/2023,1545.48
065,STRAIGHT RYE WHISKIES,08/09/2023,983.85
384,TEMPORARY & SPECIALTY PACKAGES,10/11/2023,4062.15
260,AMERICAN FLAVORED VODKA,08/18/2023,13749.48
619,MEZCAL,10/27/2023,240.00
460,SCOTCH WHISKIES,08/07/2023,19.50
240,IMPORTED VODKAS,08/29/2023,213.98
035,IMPORTED DRY GINS,04/20/2023,6003.18
260,TEMPORARY & SPECIALTY PACKAGES,06/13/2023,2802.83
259,CANADIAN WHISKIES,02/22/2023,74470.10
434,CANADIAN WHISKIES,10/26/2023,271.23
065,MIXTO TEQUILA,09/20/2023,1240.75
363,TEMPORARY & SPECIALTY PACKAGES,10/06/2023,144.00
154,STRAIGHT BOURBON WHISKIES,04/05/2023,119.72
370,FLAVORED GIN,08/02/2023,870.94
259,SPICED RUM,08/03/2023,5991.49
260,TENNESSEE WHISKIES,01/18/2023,1299.64
115,COCKTAILS/RTD,05/09/2023,370.50
260,STRAIGHT BOURBON WHISKIES,03/13/2023,8171.88
260,BLENDED WHISKIES,02/22/2023,8451.62
065,BOTTLED IN BOND BOURBON,06/06/2023,101.25
619,100% AGAVE TEQUILA,10/27/2023,1858.50
260,IMPORTED DRY GINS,05/19/2023,6104.82
305,AMERICAN CORDIALS & LIQUEURS,02/02/2023,895.53
434,AMERICAN CORDIALS & LIQUEURS,05/23/2023,1511.19
214,STRAIGHT BOURBON WHISKIES,09/12/2023,450.00
481,AMERICAN CORDIALS & LIQUEURS,10/16/2023,19.20
260,MIXTO TEQUILA,08/16/2023,525.00
342,CORN WHISKIES,10/23/2023,138.00
300,AMERICAN VODKAS,05/10/2023,9651.71
205,BLENDED WHISKIES,03/14/2023,361.35
421,IMPORTED DISTILLED SPIRITS SPECIALTY,05/04/2023,23284.80
772,CANADIAN WHISKIES,05/25/2023,2308.63
283,IMPORTED BRANDIES,01/04/2023,228.75
035,IMPORTED DISTILLED SPIRITS SPECIALTY,05/15/2023,417.87
260,WHITE RUM,01/04/2023,135.00
065,MIXTO TEQUILA,01/20/2023,969.00
035,AGED DARK RUM,04/21/2023,297.18
065,BOTTLED IN BOND BOURBON,08/03/2023,222.75
654,AMERICAN FLAVORED VODKA,09/06/2023,101.25
259,AMERICAN FLAVORED VODKA,03/01/2023,4822.25
192,100% AGAVE TEQUILA,10/06/2023,5722.17
065,AMERICAN BRANDIES,10/27/2023,40.50
163,100% AGAVE TEQUILA,03/10/2023,45.00
125,BLENDED WHISKIES,04/04/2023,423.09
594,AMERICAN VODKAS,09/28/2023,549.12
283,IMPORTED BRANDIES,01/19/2023,345.00
421,WHISKEY LIQUEUR,09/07/2023,116414.90
205,AMERICAN FLAVORED VODKA,07/12/2023,10187.12
389,SCOTCH WHISKIES,02/13/2023,269.94
368,BLENDED WHISKIES,01/11/2023,157.50
380,AMERICAN DRY GINS,03/22/2023,222.84
810,IMPORTED CORDIALS & LIQUEURS,06/05/2023,225.00
772,SCOTCH WHISKIES,10/11/2023,234.00
421,COCKTAILS/RTD,06/14/2023,6788.03
654,AMERICAN FLAVORED VODKA,01/04/2023,40.50
035,SINGLE MALT SCOTCH,05/16/2023,180.00
389,IMPORTED CORDIALS & LIQUEURS,08/17/2023,2878.02
065,MIXTO TEQUILA,05/18/2023,1839.00
421,CREAM LIQUEURS,02/20/2023,1588.93
384,AMERICAN DISTILLED SPIRITS SPECIALTY,02/01/2023,128.70
492,STRAIGHT BOURBON WHISKIES,08/14/2023,594.48
205,AMERICAN VODKAS,04/11/2023,10098.77
085,AMERICAN BRANDIES,01/31/2023,241.50
368,IRISH WHISKIES,09/07/2023,333.96
325,SINGLE BARREL BOURBON WHISKIES,03/10/2023,90.00
035,IMPORTED DRY GINS,10/16/2023,1645.18
154,AMERICAN DISTILLED SPIRITS SPECIALTY,03/27/2023,877.14
195,AMERICAN VODKAS,06/06/2023,873.00
434,NEUTRAL GRAIN SPIRITS,06/14/2023,1701.00
259,SPECIAL ORDER ITEMS,10/04/2023,67.50
305,WHITE RUM,08/03/2023,225.75
260,IMPORTED DRY GINS,04/09/2023,299.86
260,STRAIGHT BOURBON WHISKIES,03/14/2023,5957.52
481,AMERICAN CORDIALS & LIQUEURS,08/29/2023,153.60
368,MEZCAL,07/26/2023,38.25
035,WHITE RUM,07/03/2023,16250.13
978,BLENDED WHISKIES,08/23/2023,44.76
460,TEMPORARY & SPECIALTY PACKAGES,09/22/2023,22.50
260,AMERICAN FLAVORED VODKA,08/30/2023,13784.19
772,CANADIAN WHISKIES,01/04/2023,6681.90
259,CORN WHISKIES,05/26/2023,13.50
434,STRAIGHT BOURBON WHISKIES,02/09/2023,1951.50
035,IMPORTED FLAVORED VODKA,04/12/2023,67.50
370,SINGLE MALT SCOTCH,06/29/2023,4965.54
